State,Total Cases,Deaths,Population,Density,Governor,Legislature,President,Cases per 100k,Deaths per 100k
Alabama,1540329,20608,5039877,27,R,R,R,30563.0,409.0
Alaska,306812,1369,732673,50,R,S,R,41876.0,187.0
Arizona,2300375,31613,7276316,32,R,R,D,31615.0,434.0
Arkansas,963639,12525,3025891,34,R,R,R,31846.0,414.0
California,11411720,97142,39237836,11,D,D,D,29083.0,248.0
Colorado,1692864,13685,5812069,37,D,D,D,29127.0,235.0
Connecticut,918320,11537,3605597,4,D,D,D,25469.0,320.0
Delaware,314684,3148,1003384,6,D,D,D,31362.0,314.0
Florida,7172457,82541,21781128,8,R,R,R,32930.0,379.0
Georgia,2843881,39231,10799566,17,R,R,D,26333.0,363.0
Hawaii,355293,1713,1441553,13,D,D,D,24647.0,119.0
Idaho,502243,5240,1900923,44,R,R,R,26421.0,276.0
Illinois,3841752,40109,12671469,12,D,D,D,30318.0,317.0
Indiana,1948019,25013,6805985,16,R,R,R,28622.0,368.0
Iowa,866615,10229,3193079,36,R,R,R,27140.0,320.0
Kansas,893319,9651,2934582,41,D,R,R,30441.0,329.0
Kentucky,1629714,17363,4509394,23,D,R,R,36140.0,385.0
Louisiana,1465700,18217,4624047,26,D,R,R,31697.0,394.0
Maine,299501,2712,1372247,38,D,D,D,21826.0,198.0
Maryland,1276832,15613,6165129,5,R,D,D,20711.0,253.0
Massachusetts,2099238,22209,6984723,3,R,D,D,30055.0,318.0
Michigan,2907819,39574,10050811,18,D,R,D,28931.0,394.0
Minnesota,1696286,13931,5707390,30,D,S,D,29721.0,244.0
Mississippi,935770,13005,2949965,33,R,R,R,31721.0,441.0
Missouri,1695466,21924,6168187,28,R,R,R,27487.0,355.0
Montana,315677,3577,1104271,48,R,R,R,28587.0,324.0
Nebraska,538374,4606,1963692,43,R,R,R,27416.0,235.0
Nevada,857473,11580,3143991,42,D,D,D,27273.0,368.0
New Hampshire,359019,2783,1388992,21,D,R,D,25847.0,200.0
New Jersey,2815780,34981,9267130,1,D,D,D,30385.0,377.0
New Mexico,634520,8679,2115877,45,D,D,D,29989.0,410.0
New York,6289735,72674,19835913,7,D,D,D,31709.0,366.0
North Carolina,3255540,27274,10551162,15,D,R,R,30855.0,258.0
North Dakota,274701,2434,774948,47,R,R,R,35448.0,314.0
Ohio,3208165,40257,11780017,10,R,R,R,27234.0,342.0
Oklahoma,1214559,15012,3986639,35,R,R,R,30466.0,377.0
Oregon,913809,8743,4246155,39,D,D,D,21521.0,206.0
Pennsylvania,3330062,47994,12964056,9,D,R,D,25687.0,370.0
Rhode Island,434653,3725,1095610,2,D,D,D,39672.0,340.0
South Carolina,1729333,18660,5190705,19,R,R,R,33316.0,359.0
South Dakota,265890,3078,895376,46,R,R,R,29696.0,344.0
Tennessee,2312489,27914,6975218,20,R,R,R,33153.0,400.0
Texas,7952457,91497,29527941,24,R,R,R,26932.0,310.0
Utah,1051549,5076,3337975,40,R,R,R,31503.0,152.0
Vermont,145838,763,645570,31,R,D,D,22591.0,118.0
Virginia,2131894,22232,8642274,14,D,D,D,24668.0,257.0
Washington,1844567,14685,7738692,22,D,D,D,23836.0,190.0
West Virginia,610675,7538,1782959,29,R,R,R,34251.0,423.0
Wisconsin,1909301,15522,5895908,25,D,R,D,32383.0,263.0
Wyoming,179366,1917,578803,49,R,R,R,30989.0,331.0
