State,Total Cases,Deaths
Alabama,1307883,19645
Alaska,256415,1246
Arizona,2038129,30259
Arkansas,840151,11432
California,9449358,91203
Colorado,1425871,12712
Connecticut,797616,10926
Delaware,271294,2939
Florida,6058248,74330
Georgia,2471438,36674
Hawaii,258781,1443
Idaho,449364,4939
Illinois,3255231,38068
Indiana,1721977,23662
Iowa,772498,9572
Kansas,783743,8802
Kentucky,1353944,15855
Louisiana,1250429,17313
Maine,258267,2338
Maryland,1068287,14551
Massachusetts,1840292,20478
Michigan,2501863,36218
Minnesota,1493163,12887
Mississippi,804123,12465
Missouri,1461547,20620
Montana,276550,3385
Nebraska,484085,4240
Nevada,728764,10824
New Hampshire,321042,2520
New Jersey,2347382,33603
New Mexico,529336,7677
New York,5343396,68112
North Carolina,2717639,24637
North Dakota,243345,2323
Ohio,2743577,38590
Oklahoma,1046359,14419
Oregon,749722,7586
Pennsylvania,2882374,44923
Rhode Island,387083,3562
South Carolina,1487728,17869
South Dakota,239110,2919
Tennessee,1998412,26040
Texas,6816947,88507
Utah,943596,4765
Vermont,129854,654
Virginia,1755290,20338
Washington,1555759,12902
West Virginia,509251,6915
Wisconsin,1654814,14531
Wyoming,157409,1820
