State,Governor,Legislature,President
Alabama,R,R,R
Alaska,R,S,R
Arizona,R,R,D
Arkansas,R,R,R
California,D,D,D
Colorado,D,D,D
Connecticut,D,D,D
Delaware,D,D,D
Florida,R,R,R
Georgia,R,R,D
Hawaii,D,D,D
Idaho,R,R,R
Illinois,D,D,D
Indiana,R,R,R
Iowa,R,R,R
Kansas,D,R,R
Kentucky,D,R,R
Louisiana,D,R,R
Maine,D,D,D
Maryland,R,D,D
Massachusetts,R,D,D
Michigan,D,R,D
Minnesota,D,S,D
Mississippi,R,R,R
Missouri,R,R,R
Montana,R,R,R
Nebraska,R,R,R
Nevada,D,D,D
New Hampshire,D,R,D
New Jersey,D,D,D
New Mexico,D,D,D
New York,D,D,D
North Carolina,D,R,R
North Dakota,R,R,R
Ohio,R,R,R
Oklahoma,R,R,R
Oregon,D,D,D
Pennsylvania,D,R,D
Rhode Island,D,D,D
South Carolina,R,R,R
South Dakota,R,R,R
Tennessee,R,R,R
Texas,R,R,R
Utah,R,R,R
Vermont,R,D,D
Virginia,D,D,D
Washington,D,D,D
West Virginia,R,R,R
Wisconsin,D,R,D
Wyoming,R,R,R
