State,Cases per 100k
Tennessee,19344
North Dakota,21463
Florida,17369
South Carolina,17875
Arkansas,17595
Mississippi,17311
South Dakota,18963
Rhode Island,18286
Alabama,17276
Louisiana,16613
Utah,18718
Alaska,20732
Wyoming,19276
Oklahoma,16910
Kentucky,17728
Arizona,17544
Georgia,15707
Idaho,17244
Iowa,16800
Indiana,16529
Montana,17957
Kansas,16156
Texas,14986
Wisconsin,17044
Nebraska,16156
Nevada,14910
Delaware,15857
Missouri,14985
West Virginia,16595
North Carolina,14691
New Jersey,14190
Illinois,14422
Minnesota,16335
New York,14138
Ohio,14614
New Mexico,15172
California,12901
Massachusetts,13494
Colorado,14513
Michigan,14969
Pennsylvania,13698
Connecticut,11904
Virginia,11411
New Hampshire,12059
Maryland,9744
Washington,10229
Oregon,9323
Maine,9035
Hawaii,6208
Vermont,8195
